Curso_Medio,N,Admitidos,Taxa_%,Nota_Media,Nota_DP,IC_95
INFORMÁTICA,402,67,16.67,4.55,3.88,0.38
CONSTRUÇÃO CIVÍL,85,19,22.35,4.51,3.79,0.8
DESENHADOR PROJECTISTA,129,38,29.46,5.03,3.86,0.67
ENGENHARIA MECANICA,27,9,33.33,6.02,4.39,1.66
ENERGIAS RENOVÁVEIS,41,5,12.2,4.31,3.57,1.09
CIÊNCIAS FÍSICAS E BIOLÓGICAS,625,177,28.32,5.58,3.84,0.3
ELECTRICIDADE,73,10,13.7,4.38,3.51,0.8
MATEMATICA E FÍSICA,71,25,35.21,6.37,3.83,0.89
PETROQUÍMICA,39,11,28.21,6.12,3.28,1.03
ENERGIA E INSTALAÇÕES ELÉCTRICAS,211,46,21.8,5.31,3.7,0.5
ELECTRÓNICA E TELECOMUNICAÇÕES,119,27,22.69,5.18,3.76,0.68
FRIO E CLIMATIZAÇÃO,55,7,12.73,4.66,3.35,0.88
OBRAS DE CONSTRUÇÃO CIVIL,100,17,17.0,4.47,3.24,0.64
METALOMECÂNICA,27,10,37.04,6.16,4.15,1.57
GEOLOGIA,8,3,37.5,6.18,3.71,2.57
MINAS,15,4,26.67,4.79,3.82,1.93
MANUTENÇÃO INDUSTRIAL,20,5,25.0,5.92,4.64,2.03
ELECTROMECÂNICA,55,10,18.18,5.54,3.1,0.82
PERFURAÇÃO E DE PRODUÇÃO PETROLÍFERA,12,3,25.0,5.6,4.53,2.56
ARTES VISUAIS E PLÁSTICAS,16,2,12.5,3.91,3.16,1.55
CIÊNCIAS FÍSICAS E BIOLÓGICAS E AGRÔNOMAS,46,8,17.39,4.81,3.91,1.13
TÉCNICO DE MANUTENÇÃO MECANICA,22,5,22.73,4.77,3.83,1.6
ENFERMAGEM,30,5,16.67,4.22,3.47,1.24
FORMAÇÃO DE PROFESSORES PARA O ENSINO PRIMÁRIO,1,0,0.0,4.91,,
MÉDIO DE TOPOGRAFIA,38,12,31.58,5.05,4.25,1.35
INDUSTRIA DE MÓVEIS,3,1,33.33,3.82,5.4,6.11
TECNICO DE ENERGIA E INSTALACOES ELECTRICAS,18,5,27.78,6.86,3.56,1.64
BIOQUÍMICA,31,16,51.61,6.74,4.0,1.41
TÉCNICO DE MÁQUINAS E MOTORES,58,15,25.86,5.61,3.91,1.01
MECATRÓNICA,7,1,14.29,3.34,4.3,3.19
FARMÁCIA,5,2,40.0,5.78,3.87,3.39
TÉCNICO DE GESTÃO DE SISTEMA INFORMÁTICOS,49,10,20.41,5.01,3.56,1.0
"TÉCNICO DE ELECTRÓNOCA, AUTOMAÇÃO E INSTRUMENTAÇÃO",7,1,14.29,4.92,5.64,4.18
AMBIENTE E CONTROLO DE QUALIDADE,12,4,33.33,5.59,3.76,2.13
TÉCNICO DE ELECTRÓNICA E TELECOMUNICAÇÕES,5,2,40.0,6.56,4.39,3.85
TÉCNICO DE ELETRÓNICA INDUSTRIAL E AUTOMAÇÃO,22,2,9.09,3.23,3.38,1.41
ELECTRICIDADE/ELECTRÓNICA E TELECOMUNICAÇÕES,7,1,14.29,6.08,4.51,3.34
TÉCNICO DE REFINAÇAÕ,3,1,33.33,4.16,5.53,6.26
TÉC. MECATRÓNICA,6,0,0.0,5.46,2.59,2.07
TÉCNICO DE METALOMECÂNICA,6,3,50.0,6.66,4.11,3.29
INSTRUMENTAÇÃO PETROLÍFERA,4,2,50.0,6.24,4.79,4.69
TÉCNICO DE MANUTENÇÃO INDUSTRIAL,7,1,14.29,2.86,3.96,2.93
PRODUÇÃO INDÚSTRIAL E QUALIDADE,3,0,0.0,5.83,1.27,1.44
TELECOMUNICAÇÕES,3,1,33.33,3.47,5.78,6.55
Técnico de Laboratório de Química,6,3,50.0,6.41,4.52,3.62
ELETROTÉCNICA,3,1,33.33,4.32,5.14,5.81
PROCESSAMENTO DE GÁS,4,1,25.0,4.0,5.36,5.25
TÉCNICAS DE LABORATÓRIO,5,2,40.0,6.42,3.91,3.43
QUÍMICA E BIOLOGIA,10,4,40.0,5.47,4.52,2.8
ENGENHARIA DE ÁGUAS,2,0,0.0,-0.5,0.71,0.98
GEOLOGIA DE PETRÓLEO,5,3,60.0,7.31,4.25,3.72
GESTÃO DO AMBIENTE,9,2,22.22,5.53,2.86,1.87
ANÁLISES CLÍNICAS,13,7,53.85,7.96,2.46,1.34
ELECTRICIDADE E ELECTRÓNICA AUTO,6,2,33.33,6.24,4.62,3.7
AUTOMACAO E INSTRUMENTACAO,1,0,0.0,4.06,,
QUÍMICA,8,5,62.5,7.67,5.5,3.81
MÁQUINAS E INSTALAÇÕES FRIGORÍFICAS,2,0,0.0,2.76,1.22,1.7
BIOLOGIA MARINHA,1,0,0.0,2.52,,
RECURSOS FLORESTAIS,1,0,0.0,1.5,,
AQUICULTURA,1,1,100.0,10.0,,
ESTATISTICA,3,0,0.0,3.16,3.61,4.08
GESTÃO AGRÍCOLA,2,0,0.0,6.44,0.7,0.97
TECNICO DE MINAS,2,1,50.0,5.0,7.07,9.8
INDUSTRIAS AGROALIMENTARES,1,1,100.0,10.0,,
Dia,1,0,0.0,,,
